cab_id;t_start;t_end
ujtosh_8;1212763724;1212765169
ujtosh_9;1212765284;1212765677
ujtosh_10;1212765771;1212766487
ujtosh_11;1212767141;1212767775
ujtosh_12;1212767829;1212770091
ujtosh_13;1212781391;1212782872
ujtosh_14;1212799506;1212799947
ujtosh_15;1212800731;1212800791
ujtosh_16;1212810605;1212811566
ujtosh_17;1212812290;1212812343
ujtosh_18;1212817125;1212819130
ainplin_0;1212755024;1212755772
ainplin_1;1212757620;1212759247
ainplin_2;1212761417;1212761490
ainplin_3;1212761978;1212771241
ainplin_4;1212772009;1212772471
ainplin_5;1212772589;1212773830
ainplin_6;1212775831;1212776883
ainplin_7;1212777223;1212779310
ainplin_8;1212782300;1212782424
ainplin_9;1212782603;1212782724
ainplin_10;1212783039;1212783106
ainplin_11;1212786878;1212788694
ainplin_12;1212797101;1212797976
ainplin_13;1212801208;1212802411
ainplin_14;1212804766;1212805445
ainplin_15;1212805566;1212806916
ainplin_16;1212807118;1212807888
ainplin_17;1212818718;1212818777
iagods_0;1212736298;1212737649
iagods_1;1212737710;1212738306
iagods_2;1212738490;1212738546
iagods_3;1212740853;1212741505
iagods_4;1212741628;1212742299
iagods_5;1212770588;1212773062
iagods_6;1212775170;1212780167
iagods_7;1212781553;1212782054
iagods_8;1212783806;1212787152
iagods_9;1212787493;1212789420
iagods_10;1212789588;1212790482
iagods_11;1212790676;1212790784
iagods_12;1212791091;1212791689
iagods_13;1212791961;1212792019
iagods_14;1212796679;1212796724
iagods_15;1212798106;1212798396
iagods_16;1212798916;1212799498
iagods_17;1212799618;1212799849
iagods_18;1212800086;1212802473
iagods_19;1212802593;1212803129
iagods_20;1212807815;1212809656
iagods_21;1212812712;1212813497
iagods_22;1212815246;1212819991
isvayd_0;1212739117;1212739158
isvayd_1;1212740654;1212740895
isvayd_2;1212790883;1212793916
isvayd_3;1212794114;1212794419
isvayd_4;1212796470;1212798524
isvayd_5;1212798895;1212799919
isvayd_6;1212800170;1212801403
isvayd_7;1212805546;1212806290
isvayd_8;1212806345;1212807495
isvayd_9;1212808605;1212809217
isvayd_10;1212817050;1212817622
aupclik_0;1212735767;1212735782
aupclik_1;1212776735;1212778745
aupclik_2;1212785408;1212787343
aupclik_3;1212792510;1212795136
aupclik_4;1212796107;1212796685
aupclik_5;1212816041;1212817105
askmecle_0;1212742685;1212742714
askmecle_1;1212745630;1212747279
askmecle_2;1212752382;1212754105
askmecle_3;1212754181;1212755042
askmecle_4;1212758603;1212759594
askmecle_5;1212769916;1212774584
askmecle_6;1212774847;1212776211
askmecle_7;1212777553;1212777949
askmecle_8;1212780380;1212781014
askmecle_9;1212788417;1212789145
askmecle_10;1212789535;1212791361
askmecle_11;1212797715;1212799644
askmecle_12;1212800274;1212801685
askmecle_13;1212803741;1212804764
askmecle_14;1212804825;1212806457
askmecle_15;1212810664;1212811979
askmecle_16;1212813523;1212814101
askmecle_17;1212814434;1212814656
askmecle_18;1212815462;1212815705
askmecle_19;1212817201;1212817327
epkiapme_0;1212739803;1212739918
epkiapme_1;1212740995;1212741827
epkiapme_2;1212742069;1212742719
epkiapme_3;1212766034;1212766952
epkiapme_4;1212768327;1212769365
epkiapme_5;1212775431;1212777793
epkiapme_6;1212778517;1212779905
epkiapme_7;1212780116;1212781182
epkiapme_8;1212784649;1212785468
epkiapme_9;1212785629;1212785753
epkiapme_10;1212786874;1212787670
epkiapme_11;1212788226;1212790873
epkiapme_12;1212801303;1212801529
epkiapme_13;1212802897;1212803415
epkiapme_14;1212807210;1212807473
epkiapme_15;1212808373;1212808811
epkiapme_16;1212809283;1212809623
epkiapme_17;1212809865;1212811175
epkiapme_18;1212811586;1212811870
epkiapme_19;1212812937;1212813979
epkiapme_20;1212814152;1212814214
epkiapme_21;1212814275;1212814336
epkiapme_22;1212817564;1212818763
epkiapme_23;1212821824;1212822000
inlica_0;1212759149;1212759625
inlica_1;1212783147;1212783710
inlica_2;1212786883;1212787682
inlica_3;1212791926;1212792906
inlica_4;1212799992;1212801363
inlica_5;1212804341;1212804683
inlica_6;1212806157;1212807290
